/*****************************************INTEGRATIVE TEST VECTORS**************************************************/
///////////////////////////////////////////////////Testing vending_machine///////////////////////////////////////////////////////////////////////
//Inputs: clock (N/A), reset - 1'b; food_dispensed - 1'b; coin_inserted - 3'b;
//                     A - 1'b; B - 1'b; C - 1'b; D - 1'b; 
//                     ONE - 1'b; TWO - 1'b; THREE - 1'b; FOUR - 1'b; FIVE - 1'b; 
//             
//Outputs: coin_return - 3'b; food_selection - 5'b;  
//format: reset(x), food_dispensed(x), coin_inserted(xxx),A(x), B(x), C(x), D(x), ONE(x), TWO(x), THREE(x), FOUR(x), FIVE(x),  
//        food_selection(xxxxx), coin_to_return(xxx), num_to_display(xxxxxxxxxx) --> x_x_xxx_x_x_x_x_x_x_x_x_x_xxxxx_xxx_xxxxxxxxxx
//*****************************************INTEGRATIVE TESTS*******************************************************/

/////////////////////////////////////////////Base Cases and Initial tests////////////////////////////////////////////////////////////

//testing reset/initializing system
1_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000

//testing inserting one cent
0_0_001_0_0_0_0_0_0_0_0_0_00000_000_0000000000  //inserting one cent
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000001  //displaying amount inserted
1_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//resetting system
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000  //waiting for penny to return
0_0_000_0_0_0_0_0_0_0_0_0_00000_001_0000000000  //dispensing penny
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000  //waiting for system to settle

//resetting system between tests
1_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000  //7

//inserting coins one by one to get to $0.61
0_0_101_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//inserting half dollar
0_0_011_0_0_0_0_0_0_0_0_0_00000_000_0000110010	//inserting dime 
0_0_001_0_0_0_0_0_0_0_0_0_00000_000_0000111100	//inserting penny
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000111101	//displaying amount inserted
1_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//asking for change
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//waiting for half dollar to return
0_0_000_0_0_0_0_0_0_0_0_0_00000_101_0000000000	//waiting for dime to return and dispensing half dollar
0_0_000_0_0_0_0_0_0_0_0_0_00000_011_0000000000	//waiting for penny to return and dispensing dime
0_0_000_0_0_0_0_0_0_0_0_0_00000_001_0000000000	//dispensing penny

//resetting system between tests
1_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000

//making a selection with exact change A1
0_0_110_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//inserting dollar 20
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0001100100	//displaying amount inserted
0_0_000_1_0_0_0_1_0_0_0_0_00000_000_0001100100	//selecting A1
0_0_000_0_0_0_0_0_0_0_0_0_00001_000_0001100100	//waiting for food to be dispensed
0_0_000_0_0_0_0_0_0_0_0_0_00001_000_0001100100	//waiting for food to be dispensed
0_0_000_0_0_0_0_0_0_0_0_0_00001_000_0001100100	//waiting for food to be dispensed
0_1_000_0_0_0_0_0_0_0_0_0_00001_000_0001100100	//food_dispensed 24
0_0_000_0_0_0_0_0_0_0_0_0_00001_000_0001100100  //food picked up

//resetting system between tests
1_0_000_0_0_0_0_0_0_0_0_0_00001_000_0000000000

//making a selection with change A2 $1.15
0_0_110_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//inserting dollar
0_0_011_0_0_0_0_0_0_0_0_0_00000_000_0001100100	//inserting dime
0_0_010_0_0_0_0_0_0_0_0_0_00000_000_0001101110	//inserting nickel
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0001110011	//displaying amount inserted
0_0_000_1_0_0_0_0_1_0_0_0_00000_000_0001110011	//selecting A2
0_0_000_0_0_0_0_0_0_0_0_0_00010_000_0001110011	//waiting for food to be dispensed
0_0_000_0_0_0_0_0_0_0_0_0_00010_000_0001110011	//waiting for food to be dispensed
0_0_000_0_0_0_0_0_0_0_0_0_00010_000_0001110011	//waiting for food to be dispensed
0_1_000_0_0_0_0_0_0_0_0_0_00010_000_0001110011	//food_dispensed
1_0_000_0_0_0_0_0_0_0_0_0_00010_000_0000000000	//asking for change
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000	//waiting for dime to return 
0_0_000_0_0_0_0_0_0_0_0_0_00000_011_0000000000	//waiting for nickel to return and dispensing dime
0_0_000_0_0_0_0_0_0_0_0_0_00000_010_0000000000	//dispensing nickel
0_0_000_0_0_0_0_0_0_0_0_0_00000_000_0000000000  //40


